epoch,intra,inter,ratio
10,1.483133,3.7211123,2.5089538
20,2.5405605,6.5474076,2.5771508
30,2.774508,7.1711636,2.5846612
40,2.615078,6.756876,2.5838144
50,2.3567805,6.09021,2.5841227
60,2.1437075,5.5629263,2.5950024
70,2.0084255,5.2532287,2.6155956
80,1.9388378,5.0574813,2.608512
90,1.8941971,4.9378424,2.606826
100,1.8599488,4.8665624,2.6165035
110,1.8340511,4.818221,2.6270921
120,1.8044989,4.7874937,2.6530876
130,1.782431,4.7151937,2.6453724
140,1.8023161,4.63804,2.5733778
150,1.8203943,4.6212792,2.5386145
160,1.8303506,4.610417,2.5188708
170,1.8354661,4.6027794,2.5076897
180,1.838556,4.596522,2.5000718
190,1.8408601,4.5910177,2.4939525
200,1.8425506,4.5863743,2.4891443
